#Digilent WaveForms Logger,,,,
#Device Name: Discovery2,,,,
#Serial Number: SN:210321B27883,,,,
#Date Time: 2023-11-08 12:42:10.124,,,,
,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),
48.1,-0.088132733,0.088238356,0.004316119,
48.2,-0.088326967,0.088435959,0.004389266,
48.3,-0.089364683,0.089472041,0.004381719,
48.4,-0.089749556,0.08985664,0.004385542,
48.5,-0.090286848,0.090388517,0.00428592,
48.6,-0.090422632,0.090524124,0.004285401,
48.7,-0.090456803,0.09055774,0.004274468,
48.8,-0.090970266,0.09106817,0.004221657,
48.9,-0.094831576,0.094939234,0.004519982,
49,-0.099141605,0.099239869,0.004415177,
49.1,-0.103248856,0.103347007,0.004503062,
49.2,-0.107706359,0.107802339,0.004548035,
49.3,-0.100233275,0.100347241,0.004781144,
49.4,-0.102336583,0.102446045,0.004734536,
49.5,-0.091328161,0.091437803,0.004476474,
49.6,-0.078668295,0.078866254,0.005584387,
49.7,-0.063020275,0.063379261,0.00673615,
49.8,-0.053244253,0.053379746,0.003800905,
49.9,-0.052756868,0.052879026,0.003592256,
50,-0.055524261,0.055659927,0.003883808,
50.1,-0.054810269,0.054946317,0.003864219,
50.2,-0.055754914,0.05604885,0.005732641,
50.3,-0.058806914,0.058978728,0.004498575,
50.4,-0.058320878,0.058491698,0.004466976,
50.5,-0.058547485,0.058710333,0.004369798,
50.6,-0.059197182,0.059367959,0.004499797,
50.7,-0.059238097,0.059417529,0.00461418,
50.8,-0.058846031,0.059032531,0.004688749,
50.9,-0.059153119,0.059337904,0.004679239,
51,-0.058862667,0.05904603,0.004649742,
51.1,-0.058712944,0.058895672,0.004635763,
51.2,-0.059022281,0.059202281,0.004613072,
51.3,-0.058723735,0.05891166,0.00470177,
51.4,-0.058106411,0.058286714,0.004581056,
51.5,-0.057959386,0.058141063,0.004592681,
51.6,-0.058152272,0.058330508,0.004556474,
51.7,-0.058820403,0.058988972,0.004456349,
51.8,-0.058763751,0.058923308,0.004333341,
51.9,-0.058949892,0.05910882,0.004331602,
52,-0.058890093,0.059055227,0.00441324,
52.1,-0.058472399,0.058647802,0.004532456,
52.2,-0.05827142,0.058450445,0.004571229,
52.3,-0.058485888,0.058669198,0.004634189,
52.4,-0.058194985,0.058377408,0.004611441,
52.5,-0.058575361,0.058755535,0.004597818,
52.6,-0.058767798,0.058949687,0.004627259,
52.7,-0.058857721,0.059042071,0.004662061,
52.8,-0.058970575,0.059153966,0.004654355,
52.9,-0.058752061,0.058935109,0.00464138,
53,-0.058543439,0.058729658,0.004673173,
53.1,-0.059209771,0.059385376,0.004563535,
53.2,-0.058337064,0.058514033,0.004547419,
53.3,-0.058481391,0.058650256,0.004447396,
53.4,-0.058540291,0.058708778,0.004444643,
53.5,-0.057940053,0.058120682,0.004578639,
53.6,-0.057601941,0.057782877,0.004569164,
53.7,-0.057506622,0.057685653,0.004541252,
53.8,-0.058092473,0.058268526,0.004526113,
53.9,-0.061339607,0.061522107,0.004735217,
54,-0.067812743,0.068010067,0.005176985,
54.1,-0.076118967,0.076265483,0.004725126,
54.2,-0.082164067,0.082318329,0.005037202,
54.3,-0.086532096,0.086646178,0.004444828,
54.4,-0.087086924,0.08719695,0.004379012,
54.5,-0.086742517,0.086852362,0.004366755,
54.6,-0.080428546,0.080568953,0.004754491,
54.7,-0.076581623,0.076686325,0.004005937,
54.8,-0.082939207,0.083061348,0.004502829,
54.9,-0.085953439,0.086056956,0.004219707,
55,-0.086287505,0.086395046,0.004309343,
55.1,-0.086317629,0.086425482,0.004316342,
55.2,-0.08572953,0.085840974,0.004372698,
55.3,-0.086100014,0.086208228,0.004318114,
55.4,-0.086384172,0.086489438,0.004265869,
55.5,-0.086622469,0.08672749,0.004266779,
55.6,-0.086327071,0.08643311,0.004280103,
55.7,-0.086156666,0.08626564,0.004334688,
55.8,-0.086070789,0.08618197,0.004376198,
55.9,-0.086083828,0.086188919,0.004254915,
56,-0.086112604,0.086211599,0.004130288,
56.1,-0.086130588,0.086226213,0.004059738,
56.2,-0.08572953,0.085829282,0.004136828,
56.3,-0.085942648,0.086045761,0.004211198,
56.4,-0.086385072,0.086491207,0.00428349,
56.5,-0.086323474,0.086431969,0.00432932,
56.6,-0.086218264,0.086327429,0.004340045,
56.7,-0.086366637,0.086476462,0.004356885,
